tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,4.9515,nan,nan
2,BASELINE,NEW_DATA,4.9507,nan,nan
3,BASELINE,NEW_DATA,4.9469,nan,nan
4,BASELINE,NEW_DATA,4.9458,nan,nan
5,BASELINE,NEW_DATA,4.9438,nan,nan
6,BASELINE,NEW_DATA,4.9412,nan,nan
7,BASELINE,NEW_DATA,4.9377,nan,nan
8,BASELINE,NEW_DATA,4.9381,nan,nan
9,BASELINE,NEW_DATA,4.9320,nan,nan
10,BASELINE,NEW_DATA,4.9316,nan,nan
11,BASELINE,NEW_DATA,4.9301,nan,nan
12,BASELINE,NEW_DATA,4.9286,nan,nan
13,BASELINE,NEW_DATA,4.9240,nan,nan
14,BASELINE,NEW_DATA,4.9194,nan,nan
15,BASELINE,NEW_DATA,4.9213,nan,nan
16,BASELINE,NEW_DATA,4.9179,110.5991,nan
17,BASELINE,NEW_DATA,4.9187,110.5991,nan
18,BASELINE,NEW_DATA,4.9191,110.5991,nan
19,BASELINE,NEW_DATA,4.9179,110.5991,nan
20,BASELINE,NEW_DATA,4.9133,110.5991,nan
21,BASELINE,NEW_DATA,4.9149,70.5882,nan
22,BASELINE,NEW_DATA,4.9133,70.5882,nan
23,BASELINE,NEW_DATA,4.9122,70.5882,nan
24,BASELINE,NEW_DATA,4.9126,70.5882,nan
25,BASELINE,NEW_DATA,4.9194,70.5882,nan
26,BASELINE,NEW_DATA,4.9103,70.5882,nan
27,BASELINE,NEW_DATA,4.9057,70.5882,nan
28,BASELINE,NEW_DATA,4.9042,70.5882,nan
29,BASELINE,NEW_DATA,4.9011,70.5882,nan
30,BASELINE,NEW_DATA,4.9019,70.5882,nan
31,BASELINE,NEW_DATA,4.9034,70.5882,nan
32,BASELINE,NEW_DATA,4.8985,70.5882,nan
33,BASELINE,NEW_DATA,4.9068,70.5882,nan
34,BASELINE,NEW_DATA,4.8965,70.5882,nan
35,BASELINE,NEW_DATA,4.8950,70.5882,nan
36,BASELINE,NEW_DATA,4.8950,60.7595,nan
37,BASELINE,NEW_DATA,4.8935,60.7595,nan
38,BASELINE,NEW_DATA,4.8927,60.7595,nan
39,BASELINE,NEW_DATA,4.8904,60.7595,nan
40,BASELINE,NEW_DATA,4.8904,60.7595,nan
41,BASELINE,NEW_DATA,4.8874,71.7132,nan
42,BASELINE,NEW_DATA,4.8862,71.7132,nan
43,BASELINE,NEW_DATA,4.8843,71.7132,nan
44,BASELINE,NEW_DATA,4.8851,71.7132,nan
45,BASELINE,NEW_DATA,4.8813,71.7132,nan
46,BASELINE,NEW_DATA,4.8805,60.7595,nan
47,BASELINE,NEW_DATA,4.8740,60.7595,nan
48,BASELINE,NEW_DATA,4.8771,60.7595,nan
49,BASELINE,NEW_DATA,4.8767,60.7595,nan
50,BASELINE,NEW_DATA,4.8832,60.7595,nan
51,BASELINE,NEW_DATA,4.8752,64.1711,nan
52,BASELINE,NEW_DATA,4.8775,64.1711,nan
53,BASELINE,NEW_DATA,4.8767,64.1711,nan
54,BASELINE,NEW_DATA,4.8786,64.1711,nan
55,BASELINE,NEW_DATA,4.8801,66.6667,nan
56,BASELINE,NEW_DATA,4.8813,66.6667,nan
57,BASELINE,NEW_DATA,4.8798,66.6667,nan
58,BASELINE,NEW_DATA,4.8813,66.6667,nan
59,BASELINE,NEW_DATA,4.8817,66.6667,nan
60,BASELINE,NEW_DATA,4.8805,68.1044,nan
61,BASELINE,NEW_DATA,4.8813,68.1044,nan
